# Region type : patch outlet
#   Faces  : 20
#   Area   : 1.000000e-03
#        Time	areaAverage(p)
        1.545	0.000000e+00
         1.55	0.000000e+00
        1.555	0.000000e+00
         1.56	0.000000e+00
        1.565	0.000000e+00
         1.57	0.000000e+00
        1.575	0.000000e+00
         1.58	0.000000e+00
        1.585	0.000000e+00
         1.59	0.000000e+00
        1.595	0.000000e+00
          1.6	0.000000e+00
        1.605	0.000000e+00
         1.61	0.000000e+00
        1.615	0.000000e+00
         1.62	0.000000e+00
        1.625	0.000000e+00
         1.63	0.000000e+00
        1.635	0.000000e+00
         1.64	0.000000e+00
        1.645	0.000000e+00
         1.65	0.000000e+00
        1.655	0.000000e+00
         1.66	0.000000e+00
        1.665	0.000000e+00
         1.67	0.000000e+00
        1.675	0.000000e+00
         1.68	0.000000e+00
        1.685	0.000000e+00
         1.69	0.000000e+00
        1.695	0.000000e+00
          1.7	0.000000e+00
        1.705	0.000000e+00
         1.71	0.000000e+00
        1.715	0.000000e+00
         1.72	0.000000e+00
        1.725	0.000000e+00
         1.73	0.000000e+00
        1.735	0.000000e+00
         1.74	0.000000e+00
        1.745	0.000000e+00
         1.75	0.000000e+00
        1.755	0.000000e+00
         1.76	0.000000e+00
        1.765	0.000000e+00
         1.77	0.000000e+00
        1.775	0.000000e+00
         1.78	0.000000e+00
        1.785	0.000000e+00
         1.79	0.000000e+00
        1.795	0.000000e+00
          1.8	0.000000e+00
        1.805	0.000000e+00
         1.81	0.000000e+00
        1.815	0.000000e+00
         1.82	0.000000e+00
        1.825	0.000000e+00
         1.83	0.000000e+00
        1.835	0.000000e+00
         1.84	0.000000e+00
        1.845	0.000000e+00
         1.85	0.000000e+00
        1.855	0.000000e+00
         1.86	0.000000e+00
        1.865	0.000000e+00
         1.87	0.000000e+00
        1.875	0.000000e+00
         1.88	0.000000e+00
        1.885	0.000000e+00
         1.89	0.000000e+00
        1.895	0.000000e+00
          1.9	0.000000e+00
        1.905	0.000000e+00
         1.91	0.000000e+00
        1.915	0.000000e+00
         1.92	0.000000e+00
        1.925	0.000000e+00
         1.93	0.000000e+00
        1.935	0.000000e+00
         1.94	0.000000e+00
        1.945	0.000000e+00
         1.95	0.000000e+00
        1.955	0.000000e+00
         1.96	0.000000e+00
        1.965	0.000000e+00
         1.97	0.000000e+00
        1.975	0.000000e+00
         1.98	0.000000e+00
        1.985	0.000000e+00
         1.99	0.000000e+00
        1.995	0.000000e+00
            2	0.000000e+00
        2.005	0.000000e+00
         2.01	0.000000e+00
        2.015	0.000000e+00
         2.02	0.000000e+00
        2.025	0.000000e+00
         2.03	0.000000e+00
        2.035	0.000000e+00
         2.04	0.000000e+00
        2.045	0.000000e+00
         2.05	0.000000e+00
        2.055	0.000000e+00
         2.06	0.000000e+00
        2.065	0.000000e+00
         2.07	0.000000e+00
        2.075	0.000000e+00
         2.08	0.000000e+00
        2.085	0.000000e+00
         2.09	0.000000e+00
        2.095	0.000000e+00
          2.1	0.000000e+00
        2.105	0.000000e+00
         2.11	0.000000e+00
        2.115	0.000000e+00
         2.12	0.000000e+00
        2.125	0.000000e+00
         2.13	0.000000e+00
        2.135	0.000000e+00
         2.14	0.000000e+00
        2.145	0.000000e+00
         2.15	0.000000e+00
        2.155	0.000000e+00
         2.16	0.000000e+00
        2.165	0.000000e+00
         2.17	0.000000e+00
        2.175	0.000000e+00
         2.18	0.000000e+00
        2.185	0.000000e+00
         2.19	0.000000e+00
        2.195	0.000000e+00
          2.2	0.000000e+00
        2.205	0.000000e+00
         2.21	0.000000e+00
        2.215	0.000000e+00
         2.22	0.000000e+00
        2.225	0.000000e+00
         2.23	0.000000e+00
        2.235	0.000000e+00
         2.24	0.000000e+00
        2.245	0.000000e+00
         2.25	0.000000e+00
        2.255	0.000000e+00
         2.26	0.000000e+00
        2.265	0.000000e+00
         2.27	0.000000e+00
        2.275	0.000000e+00
         2.28	0.000000e+00
        2.285	0.000000e+00
         2.29	0.000000e+00
        2.295	0.000000e+00
          2.3	0.000000e+00
        2.305	0.000000e+00
         2.31	0.000000e+00
        2.315	0.000000e+00
         2.32	0.000000e+00
        2.325	0.000000e+00
         2.33	0.000000e+00
        2.335	0.000000e+00
         2.34	0.000000e+00
        2.345	0.000000e+00
         2.35	0.000000e+00
        2.355	0.000000e+00
         2.36	0.000000e+00
        2.365	0.000000e+00
         2.37	0.000000e+00
        2.375	0.000000e+00
         2.38	0.000000e+00
        2.385	0.000000e+00
         2.39	0.000000e+00
        2.395	0.000000e+00
          2.4	0.000000e+00
        2.405	0.000000e+00
         2.41	0.000000e+00
        2.415	0.000000e+00
         2.42	0.000000e+00
        2.425	0.000000e+00
         2.43	0.000000e+00
        2.435	0.000000e+00
         2.44	0.000000e+00
        2.445	0.000000e+00
         2.45	0.000000e+00
        2.455	0.000000e+00
         2.46	0.000000e+00
        2.465	0.000000e+00
         2.47	0.000000e+00
        2.475	0.000000e+00
         2.48	0.000000e+00
        2.485	0.000000e+00
         2.49	0.000000e+00
        2.495	0.000000e+00
          2.5	0.000000e+00
        2.505	0.000000e+00
         2.51	0.000000e+00
        2.515	0.000000e+00
         2.52	0.000000e+00
        2.525	0.000000e+00
         2.53	0.000000e+00
        2.535	0.000000e+00
         2.54	0.000000e+00
        2.545	0.000000e+00
         2.55	0.000000e+00
        2.555	0.000000e+00
         2.56	0.000000e+00
        2.565	0.000000e+00
         2.57	0.000000e+00
        2.575	0.000000e+00
         2.58	0.000000e+00
        2.585	0.000000e+00
         2.59	0.000000e+00
        2.595	0.000000e+00
          2.6	0.000000e+00
        2.605	0.000000e+00
         2.61	0.000000e+00
        2.615	0.000000e+00
         2.62	0.000000e+00
        2.625	0.000000e+00
         2.63	0.000000e+00
        2.635	0.000000e+00
         2.64	0.000000e+00
        2.645	0.000000e+00
         2.65	0.000000e+00
        2.655	0.000000e+00
         2.66	0.000000e+00
        2.665	0.000000e+00
         2.67	0.000000e+00
        2.675	0.000000e+00
         2.68	0.000000e+00
        2.685	0.000000e+00
         2.69	0.000000e+00
        2.695	0.000000e+00
          2.7	0.000000e+00
        2.705	0.000000e+00
         2.71	0.000000e+00
        2.715	0.000000e+00
         2.72	0.000000e+00
        2.725	0.000000e+00
         2.73	0.000000e+00
        2.735	0.000000e+00
         2.74	0.000000e+00
        2.745	0.000000e+00
         2.75	0.000000e+00
        2.755	0.000000e+00
         2.76	0.000000e+00
        2.765	0.000000e+00
         2.77	0.000000e+00
        2.775	0.000000e+00
         2.78	0.000000e+00
        2.785	0.000000e+00
         2.79	0.000000e+00
        2.795	0.000000e+00
          2.8	0.000000e+00
        2.805	0.000000e+00
         2.81	0.000000e+00
        2.815	0.000000e+00
         2.82	0.000000e+00
        2.825	0.000000e+00
         2.83	0.000000e+00
        2.835	0.000000e+00
         2.84	0.000000e+00
        2.845	0.000000e+00
         2.85	0.000000e+00
        2.855	0.000000e+00
         2.86	0.000000e+00
        2.865	0.000000e+00
         2.87	0.000000e+00
        2.875	0.000000e+00
         2.88	0.000000e+00
        2.885	0.000000e+00
         2.89	0.000000e+00
        2.895	0.000000e+00
          2.9	0.000000e+00
        2.905	0.000000e+00
         2.91	0.000000e+00
        2.915	0.000000e+00
         2.92	0.000000e+00
        2.925	0.000000e+00
         2.93	0.000000e+00
        2.935	0.000000e+00
         2.94	0.000000e+00
        2.945	0.000000e+00
         2.95	0.000000e+00
        2.955	0.000000e+00
         2.96	0.000000e+00
        2.965	0.000000e+00
         2.97	0.000000e+00
        2.975	0.000000e+00
         2.98	0.000000e+00
        2.985	0.000000e+00
         2.99	0.000000e+00
        2.995	0.000000e+00
            3	0.000000e+00
        3.005	0.000000e+00
         3.01	0.000000e+00
        3.015	0.000000e+00
         3.02	0.000000e+00
        3.025	0.000000e+00
         3.03	0.000000e+00
        3.035	0.000000e+00
         3.04	0.000000e+00
        3.045	0.000000e+00
         3.05	0.000000e+00
        3.055	0.000000e+00
         3.06	0.000000e+00
        3.065	0.000000e+00
         3.07	0.000000e+00
        3.075	0.000000e+00
         3.08	0.000000e+00
        3.085	0.000000e+00
         3.09	0.000000e+00
        3.095	0.000000e+00
          3.1	0.000000e+00
        3.105	0.000000e+00
         3.11	0.000000e+00
        3.115	0.000000e+00
         3.12	0.000000e+00
        3.125	0.000000e+00
         3.13	0.000000e+00
        3.135	0.000000e+00
         3.14	0.000000e+00
        3.145	0.000000e+00
         3.15	0.000000e+00
        3.155	0.000000e+00
         3.16	0.000000e+00
        3.165	0.000000e+00
         3.17	0.000000e+00
        3.175	0.000000e+00
         3.18	0.000000e+00
        3.185	0.000000e+00
         3.19	0.000000e+00
        3.195	0.000000e+00
          3.2	0.000000e+00
        3.205	0.000000e+00
         3.21	0.000000e+00
        3.215	0.000000e+00
         3.22	0.000000e+00
        3.225	0.000000e+00
         3.23	0.000000e+00
        3.235	0.000000e+00
         3.24	0.000000e+00
        3.245	0.000000e+00
         3.25	0.000000e+00
        3.255	0.000000e+00
         3.26	0.000000e+00
        3.265	0.000000e+00
         3.27	0.000000e+00
        3.275	0.000000e+00
         3.28	0.000000e+00
        3.285	0.000000e+00
         3.29	0.000000e+00
        3.295	0.000000e+00
          3.3	0.000000e+00
        3.305	0.000000e+00
         3.31	0.000000e+00
        3.315	0.000000e+00
         3.32	0.000000e+00
        3.325	0.000000e+00
         3.33	0.000000e+00
        3.335	0.000000e+00
         3.34	0.000000e+00
        3.345	0.000000e+00
         3.35	0.000000e+00
        3.355	0.000000e+00
         3.36	0.000000e+00
        3.365	0.000000e+00
         3.37	0.000000e+00
        3.375	0.000000e+00
         3.38	0.000000e+00
        3.385	0.000000e+00
         3.39	0.000000e+00
        3.395	0.000000e+00
          3.4	0.000000e+00
        3.405	0.000000e+00
         3.41	0.000000e+00
        3.415	0.000000e+00
         3.42	0.000000e+00
        3.425	0.000000e+00
         3.43	0.000000e+00
        3.435	0.000000e+00
         3.44	0.000000e+00
        3.445	0.000000e+00
         3.45	0.000000e+00
        3.455	0.000000e+00
         3.46	0.000000e+00
        3.465	0.000000e+00
         3.47	0.000000e+00
        3.475	0.000000e+00
         3.48	0.000000e+00
        3.485	0.000000e+00
         3.49	0.000000e+00
        3.495	0.000000e+00
          3.5	0.000000e+00
        3.505	0.000000e+00
         3.51	0.000000e+00
        3.515	0.000000e+00
         3.52	0.000000e+00
        3.525	0.000000e+00
         3.53	0.000000e+00
        3.535	0.000000e+00
         3.54	0.000000e+00
        3.545	0.000000e+00
         3.55	0.000000e+00
        3.555	0.000000e+00
         3.56	0.000000e+00
        3.565	0.000000e+00
         3.57	0.000000e+00
        3.575	0.000000e+00
         3.58	0.000000e+00
        3.585	0.000000e+00
         3.59	0.000000e+00
        3.595	0.000000e+00
          3.6	0.000000e+00
        3.605	0.000000e+00
         3.61	0.000000e+00
        3.615	0.000000e+00
         3.62	0.000000e+00
        3.625	0.000000e+00
         3.63	0.000000e+00
        3.635	0.000000e+00
         3.64	0.000000e+00
        3.645	0.000000e+00
         3.65	0.000000e+00
        3.655	0.000000e+00
         3.66	0.000000e+00
        3.665	0.000000e+00
         3.67	0.000000e+00
        3.675	0.000000e+00
         3.68	0.000000e+00
        3.685	0.000000e+00
         3.69	0.000000e+00
        3.695	0.000000e+00
          3.7	0.000000e+00
        3.705	0.000000e+00
         3.71	0.000000e+00
        3.715	0.000000e+00
         3.72	0.000000e+00
        3.725	0.000000e+00
         3.73	0.000000e+00
        3.735	0.000000e+00
         3.74	0.000000e+00
        3.745	0.000000e+00
         3.75	0.000000e+00
        3.755	0.000000e+00
         3.76	0.000000e+00
        3.765	0.000000e+00
         3.77	0.000000e+00
        3.775	0.000000e+00
         3.78	0.000000e+00
        3.785	0.000000e+00
         3.79	0.000000e+00
        3.795	0.000000e+00
          3.8	0.000000e+00
        3.805	0.000000e+00
         3.81	0.000000e+00
        3.815	0.000000e+00
         3.82	0.000000e+00
        3.825	0.000000e+00
         3.83	0.000000e+00
        3.835	0.000000e+00
         3.84	0.000000e+00
        3.845	0.000000e+00
         3.85	0.000000e+00
        3.855	0.000000e+00
         3.86	0.000000e+00
        3.865	0.000000e+00
         3.87	0.000000e+00
        3.875	0.000000e+00
         3.88	0.000000e+00
        3.885	0.000000e+00
         3.89	0.000000e+00
        3.895	0.000000e+00
          3.9	0.000000e+00
        3.905	0.000000e+00
         3.91	0.000000e+00
        3.915	0.000000e+00
         3.92	0.000000e+00
        3.925	0.000000e+00
         3.93	0.000000e+00
        3.935	0.000000e+00
         3.94	0.000000e+00
        3.945	0.000000e+00
         3.95	0.000000e+00
        3.955	0.000000e+00
         3.96	0.000000e+00
        3.965	0.000000e+00
         3.97	0.000000e+00
        3.975	0.000000e+00
         3.98	0.000000e+00
        3.985	0.000000e+00
         3.99	0.000000e+00
        3.995	0.000000e+00
            4	0.000000e+00
        4.005	0.000000e+00
         4.01	0.000000e+00
        4.015	0.000000e+00
         4.02	0.000000e+00
        4.025	0.000000e+00
         4.03	0.000000e+00
        4.035	0.000000e+00
         4.04	0.000000e+00
        4.045	0.000000e+00
         4.05	0.000000e+00
        4.055	0.000000e+00
         4.06	0.000000e+00
        4.065	0.000000e+00
         4.07	0.000000e+00
        4.075	0.000000e+00
         4.08	0.000000e+00
        4.085	0.000000e+00
         4.09	0.000000e+00
        4.095	0.000000e+00
          4.1	0.000000e+00
        4.105	0.000000e+00
         4.11	0.000000e+00
        4.115	0.000000e+00
         4.12	0.000000e+00
        4.125	0.000000e+00
         4.13	0.000000e+00
        4.135	0.000000e+00
         4.14	0.000000e+00
        4.145	0.000000e+00
         4.15	0.000000e+00
        4.155	0.000000e+00
         4.16	0.000000e+00
        4.165	0.000000e+00
         4.17	0.000000e+00
        4.175	0.000000e+00
         4.18	0.000000e+00
        4.185	0.000000e+00
         4.19	0.000000e+00
        4.195	0.000000e+00
          4.2	0.000000e+00
        4.205	0.000000e+00
         4.21	0.000000e+00
        4.215	0.000000e+00
         4.22	0.000000e+00
        4.225	0.000000e+00
         4.23	0.000000e+00
        4.235	0.000000e+00
         4.24	0.000000e+00
        4.245	0.000000e+00
         4.25	0.000000e+00
        4.255	0.000000e+00
         4.26	0.000000e+00
        4.265	0.000000e+00
         4.27	0.000000e+00
        4.275	0.000000e+00
         4.28	0.000000e+00
        4.285	0.000000e+00
         4.29	0.000000e+00
        4.295	0.000000e+00
          4.3	0.000000e+00
        4.305	0.000000e+00
         4.31	0.000000e+00
        4.315	0.000000e+00
         4.32	0.000000e+00
        4.325	0.000000e+00
         4.33	0.000000e+00
        4.335	0.000000e+00
         4.34	0.000000e+00
        4.345	0.000000e+00
         4.35	0.000000e+00
        4.355	0.000000e+00
         4.36	0.000000e+00
        4.365	0.000000e+00
         4.37	0.000000e+00
        4.375	0.000000e+00
         4.38	0.000000e+00
        4.385	0.000000e+00
         4.39	0.000000e+00
        4.395	0.000000e+00
          4.4	0.000000e+00
        4.405	0.000000e+00
         4.41	0.000000e+00
        4.415	0.000000e+00
         4.42	0.000000e+00
        4.425	0.000000e+00
         4.43	0.000000e+00
        4.435	0.000000e+00
         4.44	0.000000e+00
        4.445	0.000000e+00
         4.45	0.000000e+00
        4.455	0.000000e+00
         4.46	0.000000e+00
        4.465	0.000000e+00
         4.47	0.000000e+00
        4.475	0.000000e+00
         4.48	0.000000e+00
        4.485	0.000000e+00
         4.49	0.000000e+00
        4.495	0.000000e+00
          4.5	0.000000e+00
        4.505	0.000000e+00
         4.51	0.000000e+00
        4.515	0.000000e+00
         4.52	0.000000e+00
        4.525	0.000000e+00
         4.53	0.000000e+00
        4.535	0.000000e+00
         4.54	0.000000e+00
        4.545	0.000000e+00
         4.55	0.000000e+00
        4.555	0.000000e+00
         4.56	0.000000e+00
        4.565	0.000000e+00
         4.57	0.000000e+00
        4.575	0.000000e+00
         4.58	0.000000e+00
        4.585	0.000000e+00
         4.59	0.000000e+00
        4.595	0.000000e+00
          4.6	0.000000e+00
        4.605	0.000000e+00
         4.61	0.000000e+00
        4.615	0.000000e+00
         4.62	0.000000e+00
        4.625	0.000000e+00
         4.63	0.000000e+00
        4.635	0.000000e+00
         4.64	0.000000e+00
        4.645	0.000000e+00
         4.65	0.000000e+00
        4.655	0.000000e+00
         4.66	0.000000e+00
        4.665	0.000000e+00
         4.67	0.000000e+00
        4.675	0.000000e+00
         4.68	0.000000e+00
        4.685	0.000000e+00
         4.69	0.000000e+00
        4.695	0.000000e+00
          4.7	0.000000e+00
        4.705	0.000000e+00
         4.71	0.000000e+00
        4.715	0.000000e+00
         4.72	0.000000e+00
        4.725	0.000000e+00
         4.73	0.000000e+00
        4.735	0.000000e+00
         4.74	0.000000e+00
        4.745	0.000000e+00
         4.75	0.000000e+00
        4.755	0.000000e+00
         4.76	0.000000e+00
        4.765	0.000000e+00
         4.77	0.000000e+00
        4.775	0.000000e+00
         4.78	0.000000e+00
        4.785	0.000000e+00
         4.79	0.000000e+00
        4.795	0.000000e+00
          4.8	0.000000e+00
        4.805	0.000000e+00
         4.81	0.000000e+00
        4.815	0.000000e+00
         4.82	0.000000e+00
        4.825	0.000000e+00
         4.83	0.000000e+00
        4.835	0.000000e+00
         4.84	0.000000e+00
        4.845	0.000000e+00
         4.85	0.000000e+00
        4.855	0.000000e+00
         4.86	0.000000e+00
        4.865	0.000000e+00
         4.87	0.000000e+00
        4.875	0.000000e+00
         4.88	0.000000e+00
        4.885	0.000000e+00
         4.89	0.000000e+00
        4.895	0.000000e+00
          4.9	0.000000e+00
        4.905	0.000000e+00
         4.91	0.000000e+00
        4.915	0.000000e+00
         4.92	0.000000e+00
        4.925	0.000000e+00
         4.93	0.000000e+00
        4.935	0.000000e+00
         4.94	0.000000e+00
        4.945	0.000000e+00
         4.95	0.000000e+00
        4.955	0.000000e+00
         4.96	0.000000e+00
        4.965	0.000000e+00
         4.97	0.000000e+00
        4.975	0.000000e+00
         4.98	0.000000e+00
        4.985	0.000000e+00
         4.99	0.000000e+00
        4.995	0.000000e+00
            5	0.000000e+00
